length	count
5	65
6	267
7	383
8	1020
9	1571
10	1376
11	2593
12	2565
13	2338
14	2577
15	3704
16	3472
17	3717
18	3841
19	4707
20	5434
21	4670
22	4963
23	4316
24	5759
25	4866
26	5088
27	5762
28	5528
29	4862
30	4398
31	5716
32	5203
33	4277
34	4445
35	4262
36	4606
37	4060
38	4028
39	4584
40	4088
41	4830
42	2997
43	3795
44	4202
45	3631
46	3900
47	3572
48	3378
49	3099
50	3782
51	4252
52	2992
53	3742
54	3646
55	3597
56	3532
57	3362
58	3875
59	3308
60	2984
61	2857
62	3019
63	2763
64	2524
65	2540
66	2781
67	2725
68	2530
69	2640
70	2487
71	2195
72	2205
73	2304
74	2131
75	2140
76	2171
77	2216
78	2214
79	2156
80	2222
81	2149
82	2072
83	1949
84	2034
85	1968
86	2035
87	1920
88	1935
89	1968
90	1974
91	1899
92	2004
93	1958
94	1814
95	1839
96	1960
97	1828
98	1771
99	1876
100	1916
101	1626
102	1795
103	1738
104	1752
105	1702
106	1552
107	1633
108	1651
109	1660
110	1761
111	1510
112	1510
113	1544
114	1529
115	1456
116	1706
117	1440
118	1543
119	1493
120	1556
121	1515
122	1421
123	1404
124	1405
125	1309
126	1463
127	1379
128	1307
129	1348
130	1428
131	1376
132	1349
133	1383
134	1342
135	1339
136	1397
137	1343
138	1196
139	1258
140	1269
141	1294
142	1218
143	1192
144	1195
145	1106
146	1174
147	1129
148	1162
149	1181
150	1063
151	1124
152	1036
153	1073
154	1031
155	1113
156	1049
157	1081
158	1074
159	1028
160	1002
161	1026
162	937
163	1017
164	999
165	954
166	1008
167	958
168	996
169	996
170	1020
171	968
172	906
173	914
174	977
175	884
176	952
177	895
178	892
179	903
180	795
181	871
182	753
183	887
184	746
185	900
186	756
187	830
188	757
189	753
190	772
191	713
192	697
193	702
194	721
195	687
196	779
197	675
198	789
199	733
200	684
201	342
202	288
203	41960
204	6526
205	13648
206	3132
207	4785
208	1370
209	1715
210	562
211	711
212	337
213	447
214	191
215	228
216	187
217	144
218	133
219	114
220	55
221	94
222	80
223	109
224	86
225	54
226	63
227	88
228	60
229	111
230	40
231	77
232	66
233	69
234	36
235	70
236	54
237	32
238	100
239	44
240	82
241	48
242	36
243	48
244	51
245	40
246	38
247	66
248	40
249	43
250	44
251	48
252	62
253	25
254	38
255	68
256	38
257	48
258	29
259	38
260	35
261	43
262	29
263	30
264	25
265	40
266	30
267	24
268	20
269	24
270	20
271	63
272	18
273	43
274	39
275	29
276	22
277	27
278	24
279	46
280	24
281	32
282	17
283	17
284	25
285	18
286	47
287	21
288	6
289	35
290	22
291	27
292	35
293	25
294	22
295	12
296	28
297	25
298	25
299	23
300	16
301	27
302	21
303	38
304	28
305	77
306	20
307	29
308	18
309	17
310	24
311	25
312	18
313	16
314	20
315	21
316	30
317	31
318	16
319	15
320	13
321	9
322	12
323	12
324	21
325	21
326	13
327	29
328	12
329	23
330	10
331	11
332	15
333	11
334	8
335	14
336	13
337	16
338	16
339	10
340	16
341	10
342	19
343	50
344	31
345	17
346	26
347	4
348	9
349	25
350	9
351	45
352	36
